instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|60362,60362,NIFTY25SEP23900PE,NIFTY,99.35,25-Sep-2025,23900,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60398,60398,NIFTY25SEP24300CE,NIFTY,1657.9,25-Sep-2025,24300,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60392,60392,NIFTY25SEP24250PE,NIFTY,141.25,25-Sep-2025,24250,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60390,60390,NIFTY25SEP24200PE,NIFTY,133.9,25-Sep-2025,24200,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60391,60391,NIFTY25SEP24250CE,NIFTY,1694.15,25-Sep-2025,24250,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60383,60383,NIFTY25SEP24150PE,NIFTY,128.6,25-Sep-2025,24150,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60384,60384,NIFTY25SEP24200CE,NIFTY,1737.4,25-Sep-2025,24200,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60358,60358,NIFTY25SEP23850PE,NIFTY,94.95,25-Sep-2025,23850,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60359,60359,NIFTY25SEP23900CE,NIFTY,1994.5,25-Sep-2025,23900,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60356,60356,NIFTY25SEP23800PE,NIFTY,91.45,25-Sep-2025,23800,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60357,60357,NIFTY25SEP23850CE,NIFTY,2038.05,25-Sep-2025,23850,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60353,60353,NIFTY25SEP23800CE,NIFTY,2081.9,25-Sep-2025,23800,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60350,60350,NIFTY25SEP23750CE,NIFTY,2125.9,25-Sep-2025,23750,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60351,60351,NIFTY25SEP23750PE,NIFTY,84.85,25-Sep-2025,23750,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60347,60347,NIFTY25SEP23700CE,NIFTY,2130.0,25-Sep-2025,23700,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60348,60348,NIFTY25SEP23700PE,NIFTY,81.9,25-Sep-2025,23700,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60345,60345,NIFTY25SEP23650CE,NIFTY,2402.45,25-Sep-2025,23650,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60346,60346,NIFTY25SEP23650PE,NIFTY,76.05,25-Sep-2025,23650,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60341,60341,NIFTY25SEP23600CE,NIFTY,0.0,25-Sep-2025,23600,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60342,60342,NIFTY25SEP23600PE,NIFTY,0.0,25-Sep-2025,23600,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|35222,35222,NIFTY25DEC30000PE,NIFTY,3760.0,24-Dec-2025,30000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|35221,35221,NIFTY25DEC30000CE,NIFTY,42.85,24-Dec-2025,30000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|35235,35235,NIFTY26DEC30000CE,NIFTY,1131.45,31-Dec-2026,30000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|35231,35231,NIFTY26JUN30000PE,NIFTY,5541.2,25-Jun-2026,30000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|35229,35229,NIFTY26JUN30000CE,NIFTY,788.0,25-Jun-2026,30000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|35237,35237,NIFTY26DEC30000PE,NIFTY,5003.2,31-Dec-2026,30000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|35262,35262,NIFTY27JUN30000CE,NIFTY,1478.4,24-Jun-2027,30000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|35263,35263,NIFTY27JUN30000PE,NIFTY,4562.55,24-Jun-2027,30000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49627,49627,NIFTY2572426600CE,NIFTY,4.65,24-Jul-2025,26600,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49625,49625,NIFTY2572426550CE,NIFTY,5.3,24-Jul-2025,26550,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49626,49626,NIFTY2572426550PE,NIFTY,1136.65,24-Jul-2025,26550,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49634,49634,NIFTY2572426700PE,NIFTY,1280.0,24-Jul-2025,26700,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49635,49635,NIFTY2572426750CE,NIFTY,57.25,24-Jul-2025,26750,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49632,49632,NIFTY2572426650PE,NIFTY,1234.95,24-Jul-2025,26650,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49633,49633,NIFTY2572426700CE,NIFTY,3.75,24-Jul-2025,26700,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49630,49630,NIFTY2572426600PE,NIFTY,1188.35,24-Jul-2025,26600,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49631,49631,NIFTY2572426650CE,NIFTY,4.4,24-Jul-2025,26650,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49618,49618,NIFTY2572426400PE,NIFTY,985.7,24-Jul-2025,26400,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49619,49619,NIFTY2572426450CE,NIFTY,88.75,24-Jul-2025,26450,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49616,49616,NIFTY2572426350PE,NIFTY,933.6,24-Jul-2025,26350,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49617,49617,NIFTY2572426400CE,NIFTY,7.9,24-Jul-2025,26400,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49624,49624,NIFTY2572426500PE,NIFTY,1105.05,24-Jul-2025,26500,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49621,49621,NIFTY2572426500CE,NIFTY,6.1,24-Jul-2025,26500,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49620,49620,NIFTY2572426450PE,NIFTY,1022.2,24-Jul-2025,26450,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49647,49647,NIFTY2572426900CE,NIFTY,2.65,24-Jul-2025,26900,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49656,49656,NIFTY2572427050PE,NIFTY,1639.45,24-Jul-2025,27050,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49657,49657,NIFTY2572427100CE,NIFTY,2.5,24-Jul-2025,27100,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49654,49654,NIFTY2572427000PE,NIFTY,1576.85,24-Jul-2025,27000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49655,49655,NIFTY2572427050CE,NIFTY,35.85,24-Jul-2025,27050,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49652,49652,NIFTY2572426950PE,NIFTY,1527.25,24-Jul-2025,26950,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49653,49653,NIFTY2572427000CE,NIFTY,2.55,24-Jul-2025,27000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49650,49650,NIFTY2572426900PE,NIFTY,1482.8,24-Jul-2025,26900,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49651,49651,NIFTY2572426950CE,NIFTY,3.45,24-Jul-2025,26950,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49636,49636,NIFTY2572426750PE,NIFTY,1344.85,24-Jul-2025,26750,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49637,49637,NIFTY2572426800CE,NIFTY,3.2,24-Jul-2025,26800,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49646,49646,NIFTY2572426850PE,NIFTY,1432.9,24-Jul-2025,26850,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49643,49643,NIFTY2572426850CE,NIFTY,3.25,24-Jul-2025,26850,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49642,49642,NIFTY2572426800PE,NIFTY,1383.35,24-Jul-2025,26800,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49605,49605,NIFTY2572426250CE,NIFTY,47.7,24-Jul-2025,26250,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49603,49603,NIFTY2572426200CE,NIFTY,14.95,24-Jul-2025,26200,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49604,49604,NIFTY2572426200PE,NIFTY,749.55,24-Jul-2025,26200,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49612,49612,NIFTY2572426300PE,NIFTY,876.35,24-Jul-2025,26300,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49613,49613,NIFTY2572426350CE,NIFTY,21.05,24-Jul-2025,26350,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49610,49610,NIFTY2572426250PE,NIFTY,841.75,24-Jul-2025,26250,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49611,49611,NIFTY2572426300CE,NIFTY,10.8,24-Jul-2025,26300,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49602,49602,NIFTY2572426150PE,NIFTY,744.0,24-Jul-2025,26150,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49678,49678,NIFTY2572427400PE,NIFTY,1990.95,24-Jul-2025,27400,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49676,49676,NIFTY2572427350PE,NIFTY,1941.2,24-Jul-2025,27350,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49677,49677,NIFTY2572427400CE,NIFTY,2.2,24-Jul-2025,27400,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49674,49674,NIFTY2572427300PE,NIFTY,1888.6,24-Jul-2025,27300,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49675,49675,NIFTY2572427350CE,NIFTY,2.2,24-Jul-2025,27350,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49672,49672,NIFTY2572427250PE,NIFTY,1838.85,24-Jul-2025,27250,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49673,49673,NIFTY2572427300CE,NIFTY,2.3,24-Jul-2025,27300,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49667,49667,NIFTY2572427250CE,NIFTY,2.45,24-Jul-2025,27250,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49665,49665,NIFTY2572427200CE,NIFTY,2.35,24-Jul-2025,27200,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49666,49666,NIFTY2572427200PE,NIFTY,1788.7,24-Jul-2025,27200,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49663,49663,NIFTY2572427150CE,NIFTY,2.4,24-Jul-2025,27150,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|49664,49664,NIFTY2572427150PE,NIFTY,1729.2,24-Jul-2025,27150,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|49662,49662,NIFTY2572427100PE,NIFTY,1689.15,24-Jul-2025,27100,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60619,60619,NIFTY25SEP27250CE,NIFTY,385.9,25-Sep-2025,27250,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60618,60618,NIFTY25SEP27200PE,NIFTY,1484.85,25-Sep-2025,27200,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60615,60615,NIFTY25SEP27200CE,NIFTY,399.2,25-Sep-2025,27200,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60613,60613,NIFTY25SEP27150CE,NIFTY,412.9,25-Sep-2025,27150,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60614,60614,NIFTY25SEP27150PE,NIFTY,1445.25,25-Sep-2025,27150,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60611,60611,NIFTY25SEP27100CE,NIFTY,426.9,25-Sep-2025,27100,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60612,60612,NIFTY25SEP27100PE,NIFTY,1397.0,25-Sep-2025,27100,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60610,60610,NIFTY25SEP27050PE,NIFTY,1368.05,25-Sep-2025,27050,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60608,60608,NIFTY25SEP26950PE,NIFTY,1293.45,25-Sep-2025,26950,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60609,60609,NIFTY25SEP27050CE,NIFTY,441.3,25-Sep-2025,27050,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60606,60606,NIFTY25SEP26900PE,NIFTY,1257.95,25-Sep-2025,26900,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60607,60607,NIFTY25SEP26950CE,NIFTY,471.2,25-Sep-2025,26950,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60604,60604,NIFTY25SEP26850PE,NIFTY,1223.4,25-Sep-2025,26850,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60605,60605,NIFTY25SEP26900CE,NIFTY,486.75,25-Sep-2025,26900,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60602,60602,NIFTY25SEP26800PE,NIFTY,1190.35,25-Sep-2025,26800,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60603,60603,NIFTY25SEP26850CE,NIFTY,150.45,25-Sep-2025,26850,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60600,60600,NIFTY25SEP26750PE,NIFTY,1150.55,25-Sep-2025,26750,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60601,60601,NIFTY25SEP26800CE,NIFTY,518.95,25-Sep-2025,26800,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60626,60626,NIFTY25SEP27400PE,NIFTY,1700.0,25-Sep-2025,27400,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60624,60624,NIFTY25SEP27350PE,NIFTY,1611.95,25-Sep-2025,27350,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60625,60625,NIFTY25SEP27400CE,NIFTY,349.25,25-Sep-2025,27400,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60622,60622,NIFTY25SEP27300PE,NIFTY,1568.4,25-Sep-2025,27300,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60623,60623,NIFTY25SEP27350CE,NIFTY,361.45,25-Sep-2025,27350,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60620,60620,NIFTY25SEP27250PE,NIFTY,1527.6,25-Sep-2025,27250,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60621,60621,NIFTY25SEP27300CE,NIFTY,372.95,25-Sep-2025,27300,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60554,60554,NIFTY25SEP26150CE,NIFTY,373.4,25-Sep-2025,26150,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60552,60552,NIFTY25SEP26100CE,NIFTY,367.2,25-Sep-2025,26100,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60553,60553,NIFTY25SEP26100PE,NIFTY,693.1,25-Sep-2025,26100,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60551,60551,NIFTY25SEP26050PE,NIFTY,729.45,25-Sep-2025,26050,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60547,60547,NIFTY25SEP25950PE,NIFTY,664.1,25-Sep-2025,25950,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60548,60548,NIFTY25SEP26050CE,NIFTY,394.7,25-Sep-2025,26050,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60518,60518,NIFTY25SEP25950CE,NIFTY,435.35,25-Sep-2025,25950,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60516,60516,NIFTY25SEP25900CE,NIFTY,452.05,25-Sep-2025,25900,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60517,60517,NIFTY25SEP25900PE,NIFTY,661.0,25-Sep-2025,25900,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60514,60514,NIFTY25SEP25850CE,NIFTY,484.6,25-Sep-2025,25850,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60515,60515,NIFTY25SEP25850PE,NIFTY,640.85,25-Sep-2025,25850,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60512,60512,NIFTY25SEP25800CE,NIFTY,500.9,25-Sep-2025,25800,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60513,60513,NIFTY25SEP25800PE,NIFTY,602.95,25-Sep-2025,25800,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60510,60510,NIFTY25SEP25750CE,NIFTY,533.5,25-Sep-2025,25750,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60511,60511,NIFTY25SEP25750PE,NIFTY,588.55,25-Sep-2025,25750,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60509,60509,NIFTY25SEP25700PE,NIFTY,561.3,25-Sep-2025,25700,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60508,60508,NIFTY25SEP25700CE,NIFTY,549.25,25-Sep-2025,25700,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60505,60505,NIFTY25SEP25650CE,NIFTY,583.4,25-Sep-2025,25650,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60506,60506,NIFTY25SEP25650PE,NIFTY,535.6,25-Sep-2025,25650,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60503,60503,NIFTY25SEP25600CE,NIFTY,603.35,25-Sep-2025,25600,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60504,60504,NIFTY25SEP25600PE,NIFTY,511.75,25-Sep-2025,25600,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60501,60501,NIFTY25SEP25550CE,NIFTY,782.2,25-Sep-2025,25550,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60502,60502,NIFTY25SEP25550PE,NIFTY,500.0,25-Sep-2025,25550,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60500,60500,NIFTY25SEP25500PE,NIFTY,472.1,25-Sep-2025,25500,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60576,60576,NIFTY25SEP26300CE,NIFTY,299.6,25-Sep-2025,26300,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60574,60574,NIFTY25SEP26250CE,NIFTY,309.6,25-Sep-2025,26250,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60575,60575,NIFTY25SEP26250PE,NIFTY,846.45,25-Sep-2025,26250,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60573,60573,NIFTY25SEP26200PE,NIFTY,805.2,25-Sep-2025,26200,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60565,60565,NIFTY25SEP26150PE,NIFTY,738.25,25-Sep-2025,26150,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60566,60566,NIFTY25SEP26200CE,NIFTY,333.75,25-Sep-2025,26200,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60598,60598,NIFTY25SEP26700PE,NIFTY,1120.85,25-Sep-2025,26700,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60599,60599,NIFTY25SEP26750CE,NIFTY,170.8,25-Sep-2025,26750,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60596,60596,NIFTY25SEP26650PE,NIFTY,1080.3,25-Sep-2025,26650,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60597,60597,NIFTY25SEP26700CE,NIFTY,182.1,25-Sep-2025,26700,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60594,60594,NIFTY25SEP26600PE,NIFTY,960.0,25-Sep-2025,26600,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60595,60595,NIFTY25SEP26650CE,NIFTY,343.15,25-Sep-2025,26650,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60592,60592,NIFTY25SEP26550PE,NIFTY,1016.4,25-Sep-2025,26550,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60593,60593,NIFTY25SEP26600CE,NIFTY,209.3,25-Sep-2025,26600,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60590,60590,NIFTY25SEP26500PE,NIFTY,1024.35,25-Sep-2025,26500,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60591,60591,NIFTY25SEP26550CE,NIFTY,222.55,25-Sep-2025,26550,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60589,60589,NIFTY25SEP26500CE,NIFTY,237.7,25-Sep-2025,26500,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60587,60587,NIFTY25SEP26450CE,NIFTY,252.35,25-Sep-2025,26450,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60588,60588,NIFTY25SEP26450PE,NIFTY,951.2,25-Sep-2025,26450,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60585,60585,NIFTY25SEP26400CE,NIFTY,266.1,25-Sep-2025,26400,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60586,60586,NIFTY25SEP26400PE,NIFTY,990.0,25-Sep-2025,26400,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60583,60583,NIFTY25SEP26350CE,NIFTY,285.55,25-Sep-2025,26350,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60584,60584,NIFTY25SEP26350PE,NIFTY,891.2,25-Sep-2025,26350,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60582,60582,NIFTY25SEP26300PE,NIFTY,862.2,25-Sep-2025,26300,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60406,60406,NIFTY25SEP24350PE,NIFTY,156.5,25-Sep-2025,24350,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60402,60402,NIFTY25SEP24350CE,NIFTY,1614.1,25-Sep-2025,24350,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60401,60401,NIFTY25SEP24300PE,NIFTY,149.8,25-Sep-2025,24300,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60427,60427,NIFTY25SEP24400CE,NIFTY,1574.05,25-Sep-2025,24400,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60499,60499,NIFTY25SEP25500CE,NIFTY,658.7,25-Sep-2025,25500,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60497,60497,NIFTY25SEP25450CE,NIFTY,673.5,25-Sep-2025,25450,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60498,60498,NIFTY25SEP25450PE,NIFTY,458.15,25-Sep-2025,25450,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60495,60495,NIFTY25SEP25400CE,NIFTY,716.95,25-Sep-2025,25400,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60496,60496,NIFTY25SEP25400PE,NIFTY,432.35,25-Sep-2025,25400,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60493,60493,NIFTY25SEP25350CE,NIFTY,745.8,25-Sep-2025,25350,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60494,60494,NIFTY25SEP25350PE,NIFTY,411.55,25-Sep-2025,25350,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60491,60491,NIFTY25SEP25300CE,NIFTY,774.8,25-Sep-2025,25300,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60492,60492,NIFTY25SEP25300PE,NIFTY,394.7,25-Sep-2025,25300,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60490,60490,NIFTY25SEP25250PE,NIFTY,375.6,25-Sep-2025,25250,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60488,60488,NIFTY25SEP25200PE,NIFTY,361.35,25-Sep-2025,25200,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60489,60489,NIFTY25SEP25250CE,NIFTY,820.0,25-Sep-2025,25250,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60486,60486,NIFTY25SEP25150PE,NIFTY,341.85,25-Sep-2025,25150,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60487,60487,NIFTY25SEP25200CE,NIFTY,1035.0,25-Sep-2025,25200,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60484,60484,NIFTY25SEP25100PE,NIFTY,326.65,25-Sep-2025,25100,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60485,60485,NIFTY25SEP25150CE,NIFTY,980.0,25-Sep-2025,25150,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60482,60482,NIFTY25SEP25050PE,NIFTY,310.8,25-Sep-2025,25050,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60483,60483,NIFTY25SEP25100CE,NIFTY,975.0,25-Sep-2025,25100,0.05,75,OPTIDX,CE,NSE_FO
